,"docdist1","docdist2","docdist3","docdist4","docdist5","docdist6","docdist7","docdist8"
"Python 2.7",49.624235,27.841686,26.153446,7.785539,6.892042,0.397669,0.179288,0.123052
"PyPy 1.5",42.779886,17.912955,9.684986,3.796891,2.166741,0.806685,0.295493,0.203039
